trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
370,False,"{'a': 0.6299999999999997, 'e': 0.024267330287830763}",20,9,20.033908101476097,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.6289999999999997, 'e': 0.024024656984952455}",25,18,13.320285514132733,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.6279999999999997, 'e': 0.02378441041510293}",25,7,26.949073518332114,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.6269999999999997, 'e': 0.0235465663109519}",30,13,29.718801326831887,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.6259999999999997, 'e': 0.02331110064784238}",30,22,17.04253027354689,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.6249999999999997, 'e': 0.02307798964136396}",25,18,14.126192420632703,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.6239999999999997, 'e': 0.022847209744950317}",25,17,16.596710632834913,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.6229999999999997, 'e': 0.022618737647500817}",25,14,20.596026088629422,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.6219999999999997, 'e': 0.022392550271025807}",30,11,36.82889661753798,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.6209999999999997, 'e': 0.022168624768315548}",20,0,11.278942812041633,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
380,False,"{'a': 0.6199999999999997, 'e': 0.021946938520632394}",35,23,25.162634329422296,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.6189999999999997, 'e': 0.02172746913542607}",25,1,40.78217611013722,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.6179999999999997, 'e': 0.021510194444071807}",25,8,29.724344429247004,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.6169999999999997, 'e': 0.021295092499631088}",20,16,7.339857872489237,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.6159999999999997, 'e': 0.02108214157463478}",20,16,7.884788851989905,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.6149999999999997, 'e': 0.02087132015888843}",20,10,17.402758138269004,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.6139999999999997, 'e': 0.020662606957299545}",20,5,30.08575860143413,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.6129999999999997, 'e': 0.02045598088772655}",35,18,32.78832427615565,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.6119999999999997, 'e': 0.020251421078849283}",25,6,36.065408225190275,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.6109999999999997, 'e': 0.02004890686806079}",20,15,11.690042800528254,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.6099999999999997, 'e': 0.019848417799380184}",20,16,6.028723056567932,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.6089999999999997, 'e': 0.01964993362138638}",20,11,10.398837413509943,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.6079999999999997, 'e': 0.019453434285172516}",30,18,22.00030998047814,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.6069999999999997, 'e': 0.01925889994232079}",30,21,13.740591070145179,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.6059999999999997, 'e': 0.019066310942897586}",25,17,17.284147617231888,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.6049999999999996, 'e': 0.01887564783346861}",25,8,30.532342018983734,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.6039999999999996, 'e': 0.018686891355133923}",25,20,7.952134953349418,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.6029999999999996, 'e': 0.01850002244158258}",20,11,15.828194340593473,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.6019999999999996, 'e': 0.018315022217166757}",25,15,20.641948164934355,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.6009999999999996, 'e': 0.018131871994995087}",20,12,13.422097462151351,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.5999999999999996, 'e': 0.017950553275045137}",20,16,7.958648316333915,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.5989999999999996, 'e': 0.017771047742294686}",25,18,14.452474012349388,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.5979999999999996, 'e': 0.01759333726487174}",20,12,16.84381870278138,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.5969999999999996, 'e': 0.017417403892223023}",25,11,26.474346236063916,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.5959999999999996, 'e': 0.01724322985330079}",25,13,23.20016691400016,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.5949999999999996, 'e': 0.017070797554767782}",25,8,28.943178251025216,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.5939999999999996, 'e': 0.016900089579220106}",30,21,15.76177573054998,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
